Condition,Voice,N,Mean,SD,Median,SE
HH,Active,114,0.6711440058479533,0.20504863240836976,0.7083333333333334,0.019204563979790944
HH,Passive,114,0.6901498538011696,0.2101223490511537,0.75,0.01967976108175268
HL,Active,114,0.6755299707602339,0.21385668835065663,0.71875,0.02002951400210731
HL,Passive,114,0.6843019005847953,0.20879432400868503,0.7395833333333333,0.019555380140532534
LH,Active,114,0.6667580409356726,0.2126014475206331,0.6979166666666667,0.019911949926955507
LH,Passive,114,0.6696820175438597,0.22711573746928668,0.7395833333333334,0.021271337730064687
LL,Active,114,0.6141264619883041,0.24062669739979184,0.625,0.022536755067240673
LL,Passive,114,0.631670321637427,0.21258623312216537,0.6197916666666667,0.019910524967981846
