participant_ID,Condition,Voice,hits,total,hit_rate,fa_rate,corr_mem
232,HH,Active,6,6,1.0,0.15625,0.84375
232,HH,Passive,6,6,1.0,0.15625,0.84375
232,HL,Active,6,6,1.0,0.15625,0.84375
232,HL,Passive,6,6,1.0,0.15625,0.84375
232,LH,Active,6,6,1.0,0.15625,0.84375
232,LH,Passive,5,6,0.8333333333333334,0.15625,0.6770833333333334
232,LL,Active,6,6,1.0,0.15625,0.84375
232,LL,Passive,6,6,1.0,0.15625,0.84375
235,HH,Active,5,6,0.8333333333333334,0.22916666666666666,0.6041666666666667
235,HH,Passive,6,6,1.0,0.22916666666666666,0.7708333333333334
235,HL,Active,4,6,0.6666666666666666,0.22916666666666666,0.4375
235,HL,Passive,6,6,1.0,0.22916666666666666,0.7708333333333334
235,LH,Active,4,6,0.6666666666666666,0.22916666666666666,0.4375
235,LH,Passive,4,6,0.6666666666666666,0.22916666666666666,0.4375
235,LL,Active,5,6,0.8333333333333334,0.22916666666666666,0.6041666666666667
235,LL,Passive,2,6,0.3333333333333333,0.22916666666666666,0.10416666666666666
236,HH,Active,6,6,1.0,0.15625,0.84375
236,HH,Passive,6,6,1.0,0.15625,0.84375
236,HL,Active,5,6,0.8333333333333334,0.15625,0.6770833333333334
236,HL,Passive,6,6,1.0,0.15625,0.84375
236,LH,Active,5,6,0.8333333333333334,0.15625,0.6770833333333334
236,LH,Passive,6,6,1.0,0.15625,0.84375
236,LL,Active,6,6,1.0,0.15625,0.84375
236,LL,Passive,6,6,1.0,0.15625,0.84375
241,HH,Active,5,6,0.8333333333333334,0.21875,0.6145833333333334
241,HH,Passive,6,6,1.0,0.21875,0.78125
241,HL,Active,5,6,0.8333333333333334,0.21875,0.6145833333333334
241,HL,Passive,6,6,1.0,0.21875,0.78125
241,LH,Active,4,6,0.6666666666666666,0.21875,0.44791666666666663
241,LH,Passive,6,6,1.0,0.21875,0.78125
241,LL,Active,5,6,0.8333333333333334,0.21875,0.6145833333333334
241,LL,Passive,6,6,1.0,0.21875,0.78125
242,HH,Active,6,6,1.0,0.020833333333333332,0.9791666666666666
242,HH,Passive,5,6,0.8333333333333334,0.020833333333333332,0.8125
242,HL,Active,5,6,0.8333333333333334,0.020833333333333332,0.8125
242,HL,Passive,6,6,1.0,0.020833333333333332,0.9791666666666666
242,LH,Active,6,6,1.0,0.020833333333333332,0.9791666666666666
242,LH,Passive,5,6,0.8333333333333334,0.020833333333333332,0.8125
242,LL,Active,3,6,0.5,0.020833333333333332,0.4791666666666667
242,LL,Passive,4,6,0.6666666666666666,0.020833333333333332,0.6458333333333333
243,HH,Active,6,6,1.0,0.07291666666666667,0.9270833333333334
243,HH,Passive,6,6,1.0,0.07291666666666667,0.9270833333333334
243,HL,Active,6,6,1.0,0.07291666666666667,0.9270833333333334
243,HL,Passive,6,6,1.0,0.07291666666666667,0.9270833333333334
243,LH,Active,5,6,0.8333333333333334,0.07291666666666667,0.7604166666666667
243,LH,Passive,6,6,1.0,0.07291666666666667,0.9270833333333334
243,LL,Active,5,6,0.8333333333333334,0.07291666666666667,0.7604166666666667
243,LL,Passive,6,6,1.0,0.07291666666666667,0.9270833333333334
245,HH,Active,2,6,0.3333333333333333,0.1875,0.14583333333333331
245,HH,Passive,2,6,0.3333333333333333,0.1875,0.14583333333333331
245,HL,Active,4,6,0.6666666666666666,0.1875,0.47916666666666663
245,HL,Passive,2,6,0.3333333333333333,0.1875,0.14583333333333331
245,LH,Active,3,6,0.5,0.1875,0.3125
