Condition,N,Mean,SD,Median,Min,Max,SE
HH,114,0.6806469298245614,0.18613703317925678,0.7291666666666667,0.14583333333333331,0.96875,0.017433330428560295
HL,114,0.6799159356725146,0.18767038456251023,0.703125,0.0,0.9479166666666666,0.01757694194353272
LH,114,0.6682200292397661,0.19761433036419507,0.7083333333333333,0.03124999999999999,0.9583333333333334,0.018508277798432254
LL,114,0.6228983918128655,0.19170944589886546,0.6510416666666667,0.0,0.9375,0.01795523469750658
